country_name,Human Development Index - undp_hdi,Population (historical estimates)
Slovenia,0.875823,2043336.0
SolomonIslands,0.494278,527861.0
SouthAfrica,0.6433,51216967.0
Spain,0.866617,46931011.0
SriLanka,0.73825,20261738.0
Suriname,0.707432,529126.0
Sweden,0.901034,9390157.0
Switzerland,0.92437,7808674.0
Syria,0.639098,21362541.0
Tajikistan,0.607725,7527397.0
Tanzania,0.499915,44346532.0
Thailand,0.715838,67195032.0
Timor,0.600098,1093517.0
Togo,0.4594,6421674.0
Tonga,0.71292,103981.0
andTobago,0.771703,1328144.0
Tunisia,0.713871,10635245.0
Turkey,0.73763,72326992.0
Turkmenistan,0.665963,5087211.0
Uganda,0.472912,32428164.0
Ukraine,0.732075,45792086.0
ArabEmirates,0.828391,8549998.0
UnitedKingdom,0.906006,63459801.0
UnitedStates,0.908582,309011469.0
Uruguay,0.780163,3359273.0
Uzbekistan,0.65512,28515908.0
Vanuatu,0.58931,236216.0
Venezuela,0.756818,28439942.0
Vietnam,0.653469,87967655.0
Yemen,0.496476,23154854.0
Zambia,0.554614,13605986.0
Zimbabwe,0.460912,12697728.0
